土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,移轉層次,總樓層數,建物型態,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易,電梯
台灣新竹市新竹市東大路二段６２２之１０號十二樓之５,新竹市新竹市東大路二段６２２之１０號十二樓之５,32.82,非,110,1,建物1車位1,0,1,十二層,十四層,大樓,住家用,113,6,1,0,151.93,3,2,2,有,12700000,坡道平面,21.07,590000,0,有
台灣新竹市新竹市東大路二段６２２之１０號二樓之５,新竹市新竹市東大路二段６２２之１０號二樓之５,32.82,非,110,1,建物1車位1,0,1,二層,十四層,大樓,住家用,113,6,1,0,152.15,3,2,2,有,12010000,坡道平面,21.28,560000,0,有
台灣新竹市新竹市東大路二段６２２號三樓之１,新竹市新竹市東大路二段６２２號三樓之１,32.29,非,110,1,建物1車位1,0,1,三層,十四層,大樓,住家用,113,6,1,0,152.29,3,2,2,有,12200000,坡道平面,23.53,630000,0,有
台灣新竹市新竹市東大路二段６２２號十三樓之１,新竹市新竹市東大路二段６２２號十三樓之１,32.29,非,110,1,建物1車位1,0,1,十三層,十四層,大樓,住家用,113,6,1,0,152.29,3,2,2,有,12670000,坡道平面,23.53,650000,0,有
台灣新竹市新竹市東大路二段６２２號十二樓之３,新竹市新竹市東大路二段６２２號十二樓之３,32.29,非,110,1,建物1車位1,0,1,十二層,十四層,大樓,住家用,113,6,1,0,152.29,3,2,2,有,12420000,坡道平面,23.53,680000,0,有
台灣新竹市新竹市東大路二段６２２號十三樓之３,新竹市新竹市東大路二段６２２號十三樓之３,32.29,非,110,1,建物1車位1,0,1,十三層,十四層,大樓,住家用,113,6,1,0,152.29,3,2,2,有,12450000,坡道平面,23.53,630000,0,有
台灣新竹市新竹市東大路二段６２２之１０號十三樓之５,新竹市新竹市東大路二段６２２之１０號十三樓之５,32.82,非,110,1,建物1車位1,0,1,十三層,十四層,大樓,住家用,113,6,1,0,152.47,3,2,2,有,12680000,坡道平面,21.61,630000,0,有
台灣新竹市新竹市東大路二段６２２之１０號六樓之５,新竹市新竹市東大路二段６２２之１０號六樓之５,32.82,非,110,1,建物1車位1,0,1,六層,十四層,大樓,住家用,113,6,1,0,152.47,3,2,2,有,12480000,坡道平面,21.61,630000,0,有
台灣新竹市新竹市關新路１９巷８號七樓,新竹市新竹市關新路１９巷８號七樓,16.89,住,113,10,建物1車位1,0,1,七層,十四層,大樓,辦公用,97,10,0,16,152.49,3,2,2,有,28900000,坡道平面,0,0,0,有
台灣新竹市新竹市中華路六段７９９巷１２弄７號３樓,新竹市新竹市中華路六段７９９巷１２弄７號３樓,93.7,非,113,7,建物1車位0,0,0,四層，五層,五層,公寓,住家用,82,11,0,30.6,152.54,3,2,3,無,7500000,,0,0,0,無
台灣新竹市新竹市東大路二段６２２之１０號四樓之２,新竹市新竹市東大路二段６２２之１０號四樓之２,32.29,非,110,1,建物1車位1,0,1,四層,十四層,大樓,住家用,113,6,1,0,152.6,3,2,2,有,12190000,坡道平面,23.85,630000,0,有
台灣新竹市新竹市東大路二段６２２號三樓之５,新竹市新竹市東大路二段６２２號三樓之５,32.29,非,112,6,建物1車位1,0,1,三層,十四層,大樓,住家用,113,6,1,0,152.61,3,2,2,有,19850000,坡道平面,23.85,2510000,0,有
台灣新竹市新竹市武陵路１７７號５樓之５,新竹市新竹市武陵路１７７號５樓之５,22.64,住,113,8,建物1車位0,0,0,五層,二十二層,大樓,住家用,87,6,0,26.2,152.77,3,2,2,有,14860000,,0,0,0,有
台灣新竹市新竹市東大路二段６２２之１０號十樓之５,新竹市新竹市東大路二段６２２之１０號十樓之５,32.82,非,110,1,建物1車位1,0,1,十層,十四層,大樓,住家用,113,6,1,0,152.79,3,2,2,有,13160000,坡道平面,21.93,630000,0,有
台灣新竹市新竹市東大路二段６２２之３號十四樓之１,新竹市新竹市東大路二段６２２之３號十四樓之１,32.82,非,110,1,建物1車位1,0,1,十四層,十四層,大樓,住家用,113,6,1,0,152.99,3,2,2,有,12470000,坡道平面,22.14,540000,0,有
台灣新竹市新竹市關新西街１９２號二樓,新竹市新竹市關新西街１９２號二樓,25.81,住,113,6,建物1車位1,0,1,,十一層,大樓,住家用,98,6,0,15,153.29,3,2,2,有,27700000,坡道平面,0,0,0,有
台灣新竹市新竹市中華路三段４２號９樓之１,新竹市新竹市中華路三段４２號９樓之１,12.53,商,113,7,建物1車位1,0,1,九層,十七層,大樓,住家用,86,5,0,27.2,153.32,4,2,2,有,14250000,坡道機械,0,0,0,有
台灣新竹市新竹市東大路二段６２２之１０號,新竹市新竹市東大路二段６２２之１０號,33.36,非,110,7,建物1車位1,0,1,一層,十四層,大樓,住家用,113,6,1,0,153.43,3,2,2,有,14920000,坡道平面,20.64,1750000,0,有
台灣新竹市新竹市牛埔東路５號十一樓,新竹市新竹市牛埔東路５號十一樓,18.83,住,113,6,建物1車位1,0,1,十一層,十五層,大樓,住家用,97,1,0,16.5,153.67,3,2,2,有,17000000,坡道平面,32.72,0,0,有
台灣新竹市新竹市中華路六段７９９巷１２弄１１號３樓,新竹市新竹市中華路六段７９９巷１２弄１１號３樓,69.2,非,113,9,建物1車位0,0,0,四層，五層,五層,公寓,住家用,82,11,0,30.8,153.68,3,2,2,無,6050000,,0,0,0,無
台灣新竹市新竹市頂埔路６８號九樓之３,新竹市新竹市頂埔路６８號九樓之３,26.5,住,109,11,建物1車位1,0,1,九層,十三層,大樓,住家用,113,6,1,0,153.7,3,2,2,無,12740000,坡道平面,25,1500000,0,有
台灣新竹市新竹市中華路五段７６２號三樓之１,新竹市新竹市中華路五段７６２號三樓之１,28.43,商,113,3,建物1車位1,0,1,三層,十三層,大樓,住家用,113,7,1,0,154.22,3,2,2,有,12110000,坡道平面,34.13,1400000,0,有
台灣新竹市新竹市中華路五段７６２號六樓之１,新竹市新竹市中華路五段７６２號六樓之１,28.43,商,110,11,建物1車位1,0,1,六層,十三層,大樓,住家用,113,7,1,0,154.22,3,2,2,有,9100000,坡道平面,34.13,1150000,0,有
台灣新竹市新竹市中華路五段７６２號七樓之１,新竹市新竹市中華路五段７６２號七樓之１,28.43,商,110,11,建物1車位1,0,1,七層,十三層,大樓,住家用,113,7,1,0,154.22,3,2,2,有,8800000,坡道平面,34.13,1150000,0,有
台灣新竹市新竹市中華路五段７６２號十二樓之１,新竹市新竹市中華路五段７６２號十二樓之１,28.43,商,110,11,建物1車位1,0,1,十二層,十三層,大樓,住家用,113,7,1,0,154.22,3,2,2,有,9020000,坡道平面,34.13,1250000,0,有
台灣新竹市新竹市中華路五段７６２號九樓之１,新竹市新竹市中華路五段７６２號九樓之１,28.43,商,110,10,建物1車位1,0,1,九層,十三層,大樓,住家用,113,7,1,0,154.22,3,2,2,有,8800000,坡道平面,34.13,1250000,0,有
台灣新竹市新竹市中華路五段７６２號十一樓之１,新竹市新竹市中華路五段７６２號十一樓之１,28.43,商,110,10,建物1車位1,0,1,十一層,十三層,大樓,住家用,113,7,1,0,154.22,3,2,2,有,8940000,坡道平面,34.13,1150000,0,有
台灣新竹市新竹市榮濱南路３７８號四樓,新竹市新竹市榮濱南路３７８號四樓,22.43,住,113,8,建物1車位1,0,1,四層,十五層,大樓,住家用,107,5,0,6.3,154.32,3,2,2,有,14880000,坡道平面,28.26,0,0,有
台灣新竹市新竹市延平路二段３８５號八樓之２,新竹市新竹市延平路二段３８５號八樓之２,32.67,非,113,8,建物1車位1,0,1,八層,八層,華廈,住家用,108,3,0,5.5,154.39,3,2,2,有,14400000,坡道平面,32.9,0,0,有
台灣新竹市新竹市中華路五段７６２號三樓之５,新竹市新竹市中華路五段７６２號三樓之５,28.49,商,111,1,建物1車位1,0,1,三層,十三層,大樓,住家用,113,7,1,0,154.41,3,2,2,有,9460000,坡道平面,34.13,1250000,0,有
台灣新竹市新竹市中華路五段７６２號五樓之５,新竹市新竹市中華路五段７６２號五樓之５,28.49,商,110,11,建物1車位1,0,1,五層,十三層,大樓,住家用,113,7,1,0,154.41,3,2,2,有,8620000,坡道平面,34.13,1150000,0,有
台灣新竹市新竹市中華路五段７６２號八樓之５,新竹市新竹市中華路五段７６２號八樓之５,28.49,商,110,11,建物1車位1,0,1,八層,十三層,大樓,住家用,113,7,1,0,154.41,3,2,2,有,8800000,坡道平面,34.13,1250000,0,有
台灣新竹市新竹市中華路五段７６２號十樓之５,新竹市新竹市中華路五段７６２號十樓之５,28.49,商,110,11,建物1車位1,0,1,十層,十三層,大樓,住家用,113,7,1,0,154.41,3,2,2,有,8800000,坡道平面,34.13,1150000,0,有
台灣新竹市新竹市中華路五段７６２號十一樓之５,新竹市新竹市中華路五段７６２號十一樓之５,28.49,商,110,11,建物1車位1,0,1,十一層,十三層,大樓,住家用,113,7,1,0,154.41,3,2,2,有,8890000,坡道平面,34.13,1150000,0,有
台灣新竹市新竹市中華路五段７６２號七樓之５,新竹市新竹市中華路五段７６２號七樓之５,28.49,商,110,11,建物1車位1,0,1,七層,十三層,大樓,住家用,113,7,1,0,154.41,3,2,2,有,8700000,坡道平面,34.13,1150000,0,有
